State,Amount
AE,100.0
AK,175.0
AL,212.5
AP,200.0
AR,350.0
AZ,206.0
CA,685.2349726775956
CO,851.25
CT,825.7142857142857
DC,647.1153846153846
DE,190.0
FL,709.3589743589744
GA,842.3076923076923
HI,195.45454545454547
IA,600.0
ID,341.6666666666667
IL,1114.5192307692307
IN,225.0
KS,283.3333333333333
KY,735.0
LA,158.33333333333334
MA,750.7142857142857
MD,819.8235294117648
ME,211.11111111111111
MI,241.66666666666666
MN,697.0
MO,463.8888888888889
MS,1208.3333333333333
MT,200.0
NC,440.625
NE,183.33333333333334
NH,368.75
NJ,276.1111111111111
NM,298.9130434782609
NV,393.3333333333333
NY,910.8291457286432
OH,501.5625
OK,200.0
OR,321.05263157894734
PA,896.7555555555556
QC,250.0
RI,700.0
SC,287.5
TN,257.14285714285717
TX,485.1931818181818
UT,200.0
VA,701.0934653465347
VI,225.0
VT,350.0
WA,399.537037037037
WI,185.41666666666666
WV,183.33333333333334
WY,125.0
